pixel,gal_lon,gal_lat,weight,str_used
227,79.2061,21.42159,0.10038933,1
228,80.93883,20.117325,1.2112294,1
229,84.0911,20.117163,1.0245394,1
230,81.07031,22.193445,1.1675526,1
231,83.44294,22.994741,1.5723989,1
232,74.53566,24.320587,1.9529544,1
233,77.465195,25.036201,1.4578438,1
234,74.152084,26.692194,3.2404795,1
235,77.12693,27.092075,2.7911074,1
236,80.3316,25.37452,1.0586548,1
237,83.35371,25.52872,1.7632005,1
238,79.919525,27.46765,2.6986716,1
239,82.86414,28.063303,2.5574045,1
240,86.094284,20.676754,0.46430033,1
242,86.51623,22.839155,1.2309309,1
243,88.164085,23.65198,0.21560413,1
245,95.69605,20.380352,0.013817963,1
247,96.27982,24.488216,0.05203594,1
248,86.17561,25.721558,3.6427193,1
249,89.195724,25.965525,4.295474,1
250,86.14997,27.998178,2.374475,1
251,89.0959,28.099403,4.2893376,1
252,92.13282,26.113293,4.094249,1
253,95.12334,25.737053,8.497799,1
254,91.88249,28.447277,5.264242,1
255,94.820045,28.505537,4.1793847,1
256,97.36553,-13.81002,1.6146544,1
257,99.01136,-13.635102,1.2027057,1
258,97.51705,-10.527,1.8334137,1
259,99.109505,-10.265662,1.1471546,1
260,101.98993,-13.658352,0.6659949,1
261,103.754456,-13.357431,1.4638261,1
262,101.890274,-10.617448,0.53189975,1
263,103.94007,-10.325415,1.7196708,1
264,97.48841,-7.30722,1.8099796,1
265,99.18791,-7.1321273,0.85108227,1
266,97.547195,-4.0470133,1.7255285,1
267,99.68438,-3.9804726,0.8856406,1
268,102.28642,-7.079647,0.40159565,1
269,104.17813,-7.2736983,1.8049072,1
270,102.27373,-4.208625,0.8524178,1
271,104.208534,-4.2226076,1.6670173,1
272,105.949974,-13.445862,2.0299168,1
273,108.16321,-13.187525,1.5298072,1
274,106.20843,-10.251684,1.2436805,1
275,108.31908,-10.015715,1.7461784,1
276,110.28625,-13.246612,1.4606761,1
277,112.68162,-12.838012,1.4132297,1
278,110.5559,-10.106113,0.9768914,1
279,112.74542,-9.97799,1.6839576,1
280,106.3927,-7.05991,1.4060967,1
281,108.5153,-7.1073513,1.2309045,1
282,106.47503,-4.144783,1.5662079,1
283,108.76682,-4.116745,1.1069716,1
284,111.04831,-6.862846,1.353143,1
285,113.215675,-6.8813934,1.6531898,1
286,111.144295,-3.9496474,1.9260315,1
287,113.54637,-4.0139365,1.2123574,1
288,97.493935,-1.3106962,1.8434693,1
289,99.52709,-1.2269824,1.0495481,1
290,97.5323,1.654164,2.0533772,1
291,99.56567,1.759618,0.7361259,1
292,102.1768,-1.1609855,0.85731035,1
293,104.37524,-1.3960788,1.9766668,1
294,102.355064,1.4714873,1.186615,1
295,104.39437,1.5634985,2.0901546,1
296,97.59867,4.4545245,0.90364534,1
297,99.84848,4.389843,0.84148884,1
298,97.4684,7.28715,1.1729814,1
299,99.481514,7.0980783,0.5719419,1
300,102.66323,4.6975675,1.4421227,1
301,104.466675,4.3896265,1.3421941,1
302,102.823105,7.4908385,1.0088423,1
303,104.92662,7.423451,1.3932292,1
